,0,1
0,Iterations:,Max Mismatch:
1,1.0,15122.96381217373
2,2.0,99424.77156267583
3,3.0,1465985.7696548726
4,4.0,912072049838.8938
5,5.0,1.4071427793013848e+23
6,6.0,2.6522846108719633e+46
7,7.0,8.613182456814962e+92
8,8.0,1.022112324392506e+185
9,9.0,nan
