,0,1,2
0,16.221357377742226,-7.100084708659276,17.707163466986163
1,-1.2907361871586016,-4.627471089323495,4.804111633524506
2,-5.316719529041698,0.7329151605654677,5.3669983401413575
3,-5.737459209531563,1.2968824769359997,5.882205567644011
4,-5.823923518464339,1.3051242698643912,5.968369501690651
5,1.4728473997466267,0.08011189305247345,1.4750245348294553
6,inf,-inf,inf
7,-inf,inf,inf
8,-3.6108935991403214e+304,-8.057452470146437e+304,inf
9,2.739437580740783e+300,1.8208194531176985e+300,inf
10,6.433888876020391e+299,-2.472296788732575e+300,inf
11,3.623410612805909e+300,-3.3906240668708666e+300,inf
12,inf,-inf,inf
13,inf,-inf,inf
14,inf,-inf,inf
15,-0.9309447330843964,-3.6547512395522928,3.7714539264144005
16,inf,-inf,inf
