,0
0,2.1807534805667513e+229
1,-5.7921477603019164e+228
2,
3,
4,
5,
6,
7,
8,1.7951466885191517e+227
9,
10,9.676527117193529e+243
11,
12,
13,
14,
15,
16,
17,
